구분,날짜,날짜 근거,장르,제목,지은이,글자 수,원문 링크,본문 파일
시계열,1447-01-01,발표 연도,기타,동국정운,"신숙주, 최항, 성삼문, 박팽년, 이개, 강희안, 이현로, 조변안, 김증",447,https://ko.wikisource.org/wiki/%EB%8F%99%EA%B5%AD%EC%A0%95%EC%9A%B4,"본문/기타/신숙주, 최항, 성삼문, 박팽년, 이개, 강희안, 이현로, 조변안, 김증 - 동국정운 (1447-01-01).txt"
시계열,1447-01-01,발표 연도,고전시가,용비어천가,"정인지, 안지, 권제",28,https://ko.wikisource.org/wiki/%EC%9A%A9%EB%B9%84%EC%96%B4%EC%B2%9C%EA%B0%80,"본문/고전시가/정인지, 안지, 권제 - 용비어천가 (1447-01-01).txt"
시계열,1447-01-01,발표 연도,고전시가,월인천강지곡,세종,23823,https://ko.wikisource.org/wiki/%EC%9B%94%EC%9D%B8%EC%B2%9C%EA%B0%95%EC%A7%80%EA%B3%A1,본문/고전시가/세종 - 월인천강지곡 (1447-01-01).txt
시계열,1457-01-01,발표 연도,시조,속리산문영월흉보,양녕대군,104,https://ko.wikisource.org/wiki/%EC%86%8D%EB%A6%AC%EC%82%B0%EB%AC%B8%EC%98%81%EC%9B%94%ED%9D%89%EB%B3%B4,본문/시조/양녕대군 - 속리산문영월흉보 (1457-01-01).txt
시계열,1475-01-01,발표 연도,기타,십현담요해,김시습,28207,https://ko.wikisource.org/wiki/%EC%8B%AD%ED%98%84%EB%8B%B4%EC%9A%94%ED%95%B4,본문/기타/김시습 - 십현담요해 (1475-01-01).txt
시계열,1481-01-01,발표 연도,시,강촌,두보,262,https://ko.wikisource.org/wiki/%EA%B0%95%EC%B4%8C_%28%EB%91%90%EB%B3%B4%29,본문/시/두보 - 강촌 (1481-01-01).txt
시계열,1481-01-01,발표 연도,시,무제,두보,79,https://ko.wikisource.org/wiki/%EC%A0%88%EA%B5%AC,본문/시/두보 - 무제 (1481-01-01).txt
시계열,1481-01-01,발표 연도,시,춘망,두보,193,https://ko.wikisource.org/wiki/%EC%B6%98%EB%A7%9D,본문/시/두보 - 춘망 (1481-01-01).txt
시계열,1511-01-01,발표 연도,소설,설공찬전,채수,3171,https://ko.wikisource.org/wiki/%EC%84%A4%EA%B3%B5%EC%B0%AC%EC%A0%84,본문/소설/채수 - 설공찬전 (1511-01-01).txt
시계열,1527-01-01,발표 연도,희곡,訓蒙字會,최세진,148,https://ko.wikisource.org/wiki/%ED%9B%88%EB%AA%BD%EC%9E%90%ED%9A%8C,본문/희곡/최세진 - 訓蒙字會 (1527-01-01).txt
시계열,1565-01-01,발표 연도,시조,도산십이곡,이황,604,https://ko.wikisource.org/wiki/%EB%8F%84%EC%82%B0%EC%8B%AD%EC%9D%B4%EA%B3%A1,본문/시조/이황 - 도산십이곡 (1565-01-01).txt
시계열,1580-01-01,발표 연도,시조,훈민가,정철,886,https://ko.wikisource.org/wiki/%ED%9B%88%EB%AF%BC%EA%B0%80,본문/시조/정철 - 훈민가 (1580-01-01).txt
시계열,1582-01-01,발표 연도,한시,송필매씨,허봉,64,https://ko.wikisource.org/wiki/%ED%95%98%EA%B3%A1%EC%84%A0%EC%83%9D%EC%8B%9C%EC%B4%88%EB%B3%B4%EC%9C%A0/%EC%86%A1%ED%95%84%EB%A7%A4%EC%94%A8,본문/한시/허봉 - 송필매씨 (1582-01-01).txt
시계열,1595-01-01,발표 연도,시조,내나히닐ᄒᆞᆫ다ᄉᆞ새,김계,77,https://ko.wikisource.org/wiki/%EB%82%B4_%EB%82%98%ED%9E%88_%EB%8B%90%ED%9D%94%EB%8B%A4%EC%82%AC%EC%83%88,본문/시조/김계 - 내나히닐ᄒᆞᆫ다ᄉᆞ새 (1595-01-01).txt
시계열,1596-01-01,발표 연도,시조,춘산곡,김덕령,56,https://ko.wikisource.org/wiki/%EC%B6%98%EC%82%B0%EC%97%90_%EB%B6%88%EC%9D%B4_%EB%82%98%EB%8B%88,본문/시조/김덕령 - 춘산곡 (1596-01-01).txt
시계열,1598-01-01,발표 연도,가사,태평사,박인로,1771,https://ko.wikisource.org/wiki/%ED%83%9C%ED%8F%89%EC%82%AC,본문/가사/박인로 - 태평사 (1598-01-01).txt
시계열,1601-01-01,발표 연도,시조,조홍시가,박인로,297,https://ko.wikisource.org/wiki/%EC%A1%B0%ED%99%8D%EC%8B%9C%EA%B0%80,본문/시조/박인로 - 조홍시가 (1601-01-01).txt
시계열,1605-01-01,발표 연도,가사,선상탄,박인로,2968,https://ko.wikisource.org/wiki/%EC%84%A0%EC%83%81%ED%83%84,본문/가사/박인로 - 선상탄 (1605-01-01).txt
시계열,1606-01-01,수록 문집 저자 문서 간행 연도,한시,난설재시집 소인,주지번,279,https://ko.wikisource.org/wiki/%EB%82%9C%EC%84%A4%ED%97%8C%EC%A7%91/%EB%82%9C%EC%84%A4%EC%9E%AC%EC%8B%9C%EC%A7%91_%EC%86%8C%EC%9D%B8,본문/한시/주지번 - 난설재시집 소인 (1606-01-01).txt
시계열,1606-01-01,수록 문집 저자 문서 간행 연도,한시,난설헌집 제사,양유년,232,https://ko.wikisource.org/wiki/%EB%82%9C%EC%84%A4%ED%97%8C%EC%A7%91/%EB%82%9C%EC%84%A4%ED%97%8C%EC%A7%91_%EC%A0%9C%EC%82%AC,본문/한시/양유년 - 난설헌집 제사 (1606-01-01).txt
시계열,1608-01-01,발표 연도,한시,허균 발,허균,88,https://ko.wikisource.org/wiki/%EB%82%9C%EC%84%A4%ED%97%8C%EC%A7%91/%ED%97%88%EA%B7%A0_%EB%B0%9C,본문/한시/허균 - 허균 발 (1608-01-01).txt
시계열,1611-01-01,발표 연도,가사,누항사,박인로,1716,https://ko.wikisource.org/wiki/%EB%88%84%ED%95%AD%EC%82%AC,본문/가사/박인로 - 누항사 (1611-01-01).txt
시계열,1612-01-01,발표 연도,소설,홍길동전,허균,32748,https://ko.wikisource.org/wiki/%ED%99%8D%EA%B8%B8%EB%8F%99%EC%A0%84_%2836%EC%9E%A5_%EC%99%84%ED%8C%90%EB%B3%B8%29,본문/소설/허균 - 홍길동전 (1612-01-01).txt
시계열,1613-01-01,발표 연도,가사,사제곡,박인로,2133,https://ko.wikisource.org/wiki/%EC%82%AC%EC%A0%9C%EA%B3%A1,본문/가사/박인로 - 사제곡 (1613-01-01).txt
시계열,1614-01-01,발표 연도,노래,애대군가,최찬,156,https://ko.wikisource.org/wiki/%EC%95%A0%EB%8C%80%EA%B5%B0%EA%B0%80,본문/노래/최찬 - 애대군가 (1614-01-01).txt
시계열,1616-01-01,발표 연도,시조,견회요,윤선도,271,https://ko.wikisource.org/wiki/%EA%B2%AC%ED%9A%8C%EC%9A%94,본문/시조/윤선도 - 견회요 (1616-01-01).txt
시계열,1618-01-01,발표 연도,시조,우후요,윤선도,60,https://ko.wikisource.org/wiki/%EC%9A%B0%ED%9B%84%EC%9A%94,본문/시조/윤선도 - 우후요 (1618-01-01).txt
시계열,1621-01-01,발표 연도,시조,초정가,박인로,156,https://ko.wikisource.org/wiki/%EC%B4%88%EC%A0%95%EA%B0%80,본문/시조/박인로 - 초정가 (1621-01-01).txt
시계열,1635-01-01,발표 연도,가사,독락당,박인로,3109,https://ko.wikisource.org/wiki/%EB%8F%85%EB%9D%BD%EB%8B%B9,본문/가사/박인로 - 독락당 (1635-01-01).txt
시계열,1635-01-01,발표 연도,가사,영남가,박인로,1479,https://ko.wikisource.org/wiki/%EC%98%81%EB%82%A8%EA%B0%80,본문/가사/박인로 - 영남가 (1635-01-01).txt
시계열,1636-01-01,발표 연도,가사,노계가,박인로,2431,https://ko.wikisource.org/wiki/%EB%85%B8%EA%B3%84%EA%B0%80,본문/가사/박인로 - 노계가 (1636-01-01).txt
시계열,1639-01-01,발표 연도,시조,무제,김상헌,93,https://ko.wikisource.org/wiki/%EA%B0%80%EB%85%B8%EB%9D%BC_%EC%82%BC%EA%B0%81%EC%82%B0%EC%95%84,본문/시조/김상헌 - 무제 (1639-01-01).txt
시계열,1640-01-01,발표 연도,시조,내라그리거니,인조,57,https://ko.wikisource.org/wiki/%EB%82%B4%EB%9D%BC_%EA%B7%B8%EB%A6%AC%EA%B1%B0%EB%8B%88,본문/시조/인조 - 내라그리거니 (1640-01-01).txt
시계열,1642-01-01,발표 연도,시조,산중신곡,윤선도,1071,https://ko.wikisource.org/wiki/%EC%82%B0%EC%A4%91%EC%8B%A0%EA%B3%A1,본문/시조/윤선도 - 산중신곡 (1642-01-01).txt
시계열,1644-01-01,발표 연도,시조,先人의休養山을,김계,56,https://ko.wikisource.org/wiki/%EC%84%A0%EC%9D%B8%EC%9D%98_%ED%9C%B4%EC%96%91%EC%82%B0%EC%9D%84,본문/시조/김계 - 先人의休養山을 (1644-01-01).txt
시계열,1644-01-01,발표 연도,시조,先人이심근가ᄉᆞᆯ,김계,54,https://ko.wikisource.org/wiki/%EC%84%A0%EC%9D%B8%EC%9D%B4_%EC%8B%AC%EA%B7%BC_%EA%B0%80%EC%8A%AC,본문/시조/김계 - 先人이심근가ᄉᆞᆯ (1644-01-01).txt
시계열,1644-01-01,발표 연도,시조,沙汰考講都會處에,김계,102,https://ko.wikisource.org/wiki/%EC%82%AC%ED%83%9C%EA%B3%A0%EA%B0%95_%EB%8F%84%ED%9A%8C%EC%B2%98%EC%97%90,본문/시조/김계 - 沙汰考講都會處에 (1644-01-01).txt
시계열,1644-01-01,발표 연도,시조,너ᄂᆞᆫ老松이오,김계,52,https://ko.wikisource.org/wiki/%EB%84%88%EB%8A%94_%EB%85%B8%EC%86%A1%EC%9D%B4%EC%98%A4,본문/시조/김계 - 너ᄂᆞᆫ老松이오 (1644-01-01).txt
시계열,1645-01-01,발표 연도,시조,多臥小起八十翁,김계,53,https://ko.wikisource.org/wiki/%EB%8B%A4%EC%99%80%EC%86%8C%EA%B8%B0_%ED%8C%94%EC%8B%AD%EC%98%B9,본문/시조/김계 - 多臥小起八十翁 (1645-01-01).txt
시계열,1645-01-01,발표 연도,시조,고금영,윤선도,61,https://ko.wikisource.org/wiki/%EA%B3%A0%EA%B8%88%EC%98%81,본문/시조/윤선도 - 고금영 (1645-01-01).txt
시계열,1645-01-01,발표 연도,시조,산중속신곡,윤선도,147,https://ko.wikisource.org/wiki/%EC%82%B0%EC%A4%91%EC%86%8D%EC%8B%A0%EA%B3%A1,본문/시조/윤선도 - 산중속신곡 (1645-01-01).txt
시계열,1645-01-01,발표 연도,시조,세아ᄃᆞᆯ應科ᄒᆞ야,김계,58,https://ko.wikisource.org/wiki/%EC%84%B8%EC%95%84%EB%93%A4_%EC%9D%91%EA%B3%BC%ED%95%98%EC%95%BC,본문/시조/김계 - 세아ᄃᆞᆯ應科ᄒᆞ야 (1645-01-01).txt
시계열,1645-01-01,저자 문서 발표 연도,시조,증반금,윤선도,77,https://ko.wikisource.org/wiki/%EC%A6%9D%EB%B0%98%EA%B8%88,본문/시조/윤선도 - 증반금 (1645-01-01).txt
시계열,1645-01-01,발표 연도,시조,헌옷닙고미쥭먹고,김계,49,https://ko.wikisource.org/wiki/%ED%97%8C%EC%98%B7%EB%8B%99%EA%B3%A0_%EB%AF%B8%EC%A5%AD%EB%A8%B9%EA%B3%A0,본문/시조/김계 - 헌옷닙고미쥭먹고 (1645-01-01).txt
시계열,1646-01-01,발표 연도,시조,夫唱婦隨라ᄒᆞᆫᄃᆞᆯ,김계,63,https://ko.wikisource.org/wiki/%EB%B6%80%EC%B0%BD%EB%B6%80%EC%88%98%EB%9D%BC_%ED%95%9C%EB%93%A4,본문/시조/김계 - 夫唱婦隨라ᄒᆞᆫᄃᆞᆯ (1646-01-01).txt
시계열,1646-01-01,발표 연도,시조,苦熱에淸風을주니,김계,49,https://ko.wikisource.org/wiki/%EA%B3%A0%EC%97%B4%EC%97%90_%EC%B2%AD%ED%92%8D%EC%9D%84_%EC%A3%BC%EB%8B%88,본문/시조/김계 - 苦熱에淸風을주니 (1646-01-01).txt
