제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
"""시대의 슬픈 낙인""을 삶에 대한 희망으로 풀어낸 「운명」 : 2002년도 노벨문학상 수상·임레 케르케스 작",박인숙,기타,2002,제목의 발행 연도,000000151558,춤과 사람들,한국문화예술위원회 · 예술자료원-소장자료,포함
'92 한국방송작가상 수상작품집 : 제4회,한국방송작가협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000095014,第三企劃,한국문화예술위원회 · 예술자료원-소장자료,포함
'93 한국방송작가상 수상작품집 : 제5회,한국방송작가협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000095015,第三企劃,한국문화예술위원회 · 예술자료원-소장자료,포함
'94 한국방송작가상 작품집 : 제6회,한국방송작가협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000095012,第三企劃,한국문화예술위원회 · 예술자료원-소장자료,포함
'95 한국방송작가상 수상작품집 : 제7회,한국방송작가협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000095017,제삼기획,한국문화예술위원회 · 예술자료원-소장자료,포함
'96 만화세상 = : 제6회 서울국제만화전 입상작품집,이건상,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000054691,프레스빌,한국문화예술위원회 · 예술자료원-소장자료,포함
'96 한국방송작가상 수상작품집 : 제8회,한국방송작가협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000095016,第三企劃,한국문화예술위원회 · 예술자료원-소장자료,포함
'96문학의해,'96문학의해조직위원회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512017,'96문학의해조직위원회,한국문화예술위원회 · 예술자료원-소장자료,포함
"('91)한국문학작품선 . 1991- :, 시·시조",한국문화예술진흥원,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512008,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
"('91)한국문학작품선 . 1991- :, 중편소설",한국문화예술진흥원,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512021,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
"('92)한국문학작품선 . 1992- :, 시·시조",한국문화예술진흥원,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512026,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
"('92)한국문학작품선 . 1992- :, 중편소설",한국문화예술진흥원,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512027,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
"('93)한국문학작품선(1991.11-1992.6) . 1993(1)- :, 시·시조",한국문화예술진흥원,기타,1991,제목의 발행 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512041,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
"('93)한국문학작품선(1992.7-1993.3) . 1993(2)- :, 시·시조",한국문화예술진흥원,기타,1992,제목의 발행 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512045,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
('93연간작품집)결고운 길 따라,대구시인협회,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000030812,대구시인협회,한국문화예술위원회 · 예술자료원-소장자료,포함
"('94)한국문학작품선 . 1994- :, 시·시조",한국문화예술진흥원,기타,2013,기관 등록 연도,http://archive.arko.or.kr/search/detail/CATTOT000000512050,한국문화예술진흥원,한국문화예술위원회 · 예술자료원-소장자료,포함
