제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
김명순 문학전집,Kim Myeongsun,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415951,,번역서 1종 · 스페인어 · 예: Kim Myeongsun Como una extraña,포함
어둔 밤을 지키는 야간약국,Ko Hyewon,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415949,,번역서 1종 · 스페인어 · 예: La farmacia de noche,포함
황토기 외,Kim Dongri,단편소설,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415945,,번역서 1종 · 영어 · 예: Loess Valley and Other Korean Short Stories,포함
가사문학선,Jeong Geukin,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415944,,번역서 1종 · 영어 · 예: The Brush and the Sword: Kasa,포함
채식주의자,Han Kang,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415942,,"번역서 66종 · 영어, 독일어, 포르투갈어, 페르시아어, 베트남어 · 예: Veģetāriete",포함
태백산맥 9,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415941,,"번역서 2종 · 프랑스어, 일본어 · 예: La chaîne des monts Taebaek Tome 9",포함
태백산맥 4,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415940,,번역서 1종 · 프랑스어 · 예: La chaîne des monts Taebaek Tome 4,포함
태백산맥 5,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415939,,번역서 1종 · 프랑스어 · 예: La chaîne des monts Taebaek Tome 5,포함
태백산맥 2,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415938,,"번역서 2종 · 프랑스어, 일본어 · 예: La chaîne des monts Taebaek Tome 2",포함
태백산맥 3,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415937,,번역서 1종 · 프랑스어 · 예: La chaîne des monts Taebaek Tome 3,포함
태백산맥 1,Jo Jung-Rae,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415936,,"번역서 2종 · 프랑스어, 일본어 · 예: La chaîne des monts Taebaek Tome 1",포함
새벽의 방문자들,Jang Ryujin,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415928,,번역서 1종 · 인도네시아어 · 예: Para Pengunjung Dini Hari,포함
아젤리아 6 (가제),Haerin Shin,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415923,,번역서 1종 · 영어 · 예: AZALEA Vol.6,포함
아젤리아 2 (가제),David R. McCann,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415919,,번역서 1종 · 영어 · 예: AZALEA Vol.2,포함
마법전사 호머와 포유류 전사들2,Gomdori co.,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415910,,"번역서 1종 · 중국어(번체), 중국어(간체) · 예: 黃金戰士大冒險2：沒有尾巴的戰士",포함
마법전사 호머와 포유류의 비밀,Gomdori co.,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415909,,"번역서 1종 · 중국어(번체), 중국어(간체) · 예: 黃金戰士大冒險1：來曆不明的生物",포함
내일은 발명왕,Gomdori co.,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415908,,"번역서 3종 · 중국어(번체), 중국어(간체) · 예: 科學發明王2：雨天的發明",포함
새,OH JUNGHEE,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415907,,"번역서 9종 · 러시아어, 폴란드어, 일본어, 독일어, 영어 · 예: Ptak",포함
빛과 실,Han Kang,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415906,,"번역서 7종 · 영어, 일본어, 튀르키예어, 중국어(간체), 독일어 · 예: Işık ve İp",포함
