제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
잘 자요 엄마,서미애,장편소설,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415600,,"번역서 12종 · 예: На добраніч, мамо",포함
내가 죽기 일주일 전,서은채,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415048,,번역서 2종 · 예: Die letzte Liebe der Hui-wan,포함
배비장전,작자 미상,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415479,,번역서 2종 · 예: LA TENTACION ED LA GISAENG,포함
작별하지 않는다,한강,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415441,,번역서 19종 · 예: Dette er ikke farvel,포함
희랍어 시간,한강,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415496,,번역서 16종 · 예: Časovi starogrčkog,포함
행성어 서점,김초엽,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415601,,번역서 2종 · 예: 惑星語書店,포함
좁은 방,최성민,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415310,,번역서 1종 · 예: Narrow Rooms,포함
가시고기 우리 아빠,조창인,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415602,,번역서 1종 · 예: Người bố cá gai của tôi,포함
품위 있는 삶,정소현,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415610,,번역서 2종 · 예: 餘燼裡的尊嚴,포함
역병의 바다,김보영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415605,,번역서 2종 · 예: A Plagued Sea,포함
우리가 빛의 속도로 갈 수 없다면,김초엽,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415301,,번역서 6종 · 예: Se não podemos viajar à velocidade da luz,포함
20세기의 신화,김학철,소설,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415604,,번역서 1종 · 예: 20世紀の神話,포함
불타는 작품,Yun Ko-eun,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/413899,,번역서 1종 · 예: Art on Fire,포함
죽고 싶지만 떡볶이는 먹고 싶어 2,백세희,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415591,,"번역서 5종 · 예: Nie mam ochoty żyć, ale za bardzo lubię tteokbokki",포함
모 이야기2,최연주,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415593,,번역서 1종 · 예: Nová cesta kocourka Chloupka,포함
그들에게 린디합을,손보미,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415546,,번역서 1종 · 예: Swell,포함
그녀를 만나다,정보라,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/414980,,번역서 4종 · 예: Tu utopía,포함
홀,편혜영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415491,,번역서 13종 · 예: Dół,포함
순도 100%의 휴식,박상영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415498,,번역서 1종 · 예: 純度100%的休息,포함
제 꿈 꾸세요,김멜라,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415466,,번역서 2종 · 예: わたしを夢に見てください,포함
너라는 이름의 숲,아밀,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415145,,번역서 1종 · 예: The Forest Called You,포함
태평천하,채만식,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415495,,번역서 8종 · 예: La pace sotto il cielo,중복 제외 (앞 순위 출처에 있음)
Великий майстер. Том 1 고수 1,Mun Jeonghu,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415487,,번역서 1종 · 예: Великий майстер. Том 1 고수 1,포함
불신시대,박경리,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415525,,번역서 2종 · 예: Tiempos de incertidumbre,포함
토지 2,박경리,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415524,,번역서 4종 · 예: 土地 第2卷,포함
토지 1,박경리,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415521,,번역서 4종 · 예: 土地 第1券,포함
7년의 밤,정유정,장편소설,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/26016,,번역서 15종 · 예: 七年の夜,포함
내 친구 김정은,김금숙,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415465,,"번역서 7종 · 예: Prietenul meu, Kim Jong-un",포함
1: 눈물을 마시는 새 1,Lee Yeongdo,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415350,,번역서 1종 · 예: The Heart of the Nhaga. The Bird That Drinks Tears,포함
철도원 삼대,황석영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415467,,번역서 8종 · 예: Mater 2-10,포함
향수: 최서해 소설집,최서해,단편소설,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415453,,번역서 1종 · 예: DESARRAIGO,중복 제외 (앞 순위 출처에 있음)
Folklorn,임슬애,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415456,,"번역서 1종 · 예: 우리, 메아리처럼",포함
한 권으로 읽는 조선왕조실록,박영규,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415430,,번역서 1종 · 예: 海東實錄: 一本書讀懂朝鮮王朝,포함
이중 하나는 거짓말,김애란,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415408,,번역서 2종 · 예: Cuatro verdades y una mentira,포함
심여사는 킬러,강지영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415165,,번역서 4종 · 예: La Bouchère,포함
Light and Thread 빛과 실,Han Kang,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415047,,번역서 1종 · 예: Light and Thread 빛과 실,포함
여름의 귤을 좋아하세요,이희영,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415367,,번역서 1종 · 예: Ты любишь летние мандарины?,포함
백의 그림자,황정은,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415365,,번역서 7종 · 예: Sto cieni,포함
주해 동초제 고향임 창본 춘향가,최혜진,기타,,발표 시기 미상,https://library.ltikorea.or.kr/translatedbooks/415364,,번역서 1종 · 예: Chunhyangga,포함
