제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
너의 앉은 그 자리가 바로 꽃자리니라,이강엽,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=699,,,포함
눈먼 시계공. 1-2,김탁환 :정재승,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=679,,,포함
(소설)무소유 : 법정스님 이야기,정찬주,소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=680,,,포함
명탐정의 규칙,지은이: 히가시노 게이고 ; 옮긴이: 이혁재,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=686,,,포함
위대한 연설 100,"사이먼 마이어, 제레미 쿠르디",기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=687,,,포함
축복 ; 장영희의 영미시 산책,장영희 쓰고 ; 김점선,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=100,,,포함
해피 패밀리,고종석,장편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=1049,,,포함
말리와 나,존 그로건,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=101,,,포함
기적은 기적처럼 오지 않는다,정유선,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=487,,,포함
(돌아서서 후회하지 않는) 유쾌한 대화법 78,이정숙,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=494,,,포함
너도 떠나보면 나를 알게 될거야 : 230 days of diary in America,김동영,기타,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=499,,,포함
남편 고르기 : 하진 소설집,하진 [,단편소설,,발표 시기 미상,http://www.nl.go.kr/nl/saseo/view.jsp?recomNo=146,,,포함
