제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
오직 두 사람,김영하,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=57540,,,중복 제외 (앞 순위 출처에 있음)
이케아 옷장에 갇힌 인도 고행자의 신기한 여행,로맹 퓌에르톨라,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=22186,,,포함
진돗개 보리,김훈,소설,,발표 시기 미상,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=36608,,,포함
"천천히, 스미는",G.K. 체스터튼 외,평론,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=44613,,,포함
딸에게 차려주는 식탁,김진영,기타,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=63954,,,포함
바람이 전하는 인디언 이야기,찰스 A. 이스트먼,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=36616,,,포함
세 갈래 길,래티샤 콜롱바니,소설,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=65132,,,포함
먼지 먹는 개,손솔지,소설,2016,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=43355,,,포함
꿈 꾸는 시인,나태주,수필,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=20978,,,포함
시시콜콜한 조선의 일기들,박영서,수필,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98542,,,포함
우리가 농부로 살 수 있을까,종합재미상사,기타,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=73186,,,포함
주문을 틀리는 요리점,오구니 시로,기타,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=74034,,,포함
도시를 걷는 시간,김별아,수필,2018,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=76868,,,포함
숲속의 자본주의자,박혜윤,수필,2021,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=98699,,,포함
여행하듯 랄랄라,,기타,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=9128,,,포함
호박 목걸이,,기타,2014,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=7508,,,포함
책 할아버지의 행복 도서관,고정욱,소설,2013,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=29715,,,포함
새는 날아가면서 뒤돌아보지 않는다,류시화,수필,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=50429,,,중복 제외 (앞 순위 출처에 있음)
하루를 살아도 당당하게,황인희,수필,2017,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=54950,,,포함
검은 수련,미셸 뷔시,소설,2015,발행 연도,http://sejong.nl.go.kr/brd/NttView.do?bbsSe=BBST007&menuId=O230&upperMenuId=O200&selectedIdx=19370,,,포함
