제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
정글 전쟁,수잔 콜린스,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=42851&book_info_id=9,,,포함
까칠한 재석이가 달라졌다,고정욱,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=43347&book_info_id=1,,,포함
"왜, 그리스 신화를 읽어야 하나요?",이상기,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=63060&book_info_id=4,,,포함
엘리베이터,경혜원,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=59697&book_info_id=9,,,중복 제외 (앞 순위 출처에 있음)
수영장,이지현,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5039&book_info_id=10,,,중복 제외 (앞 순위 출처에 있음)
사춘기 수호천사,"이범, 홍은경",동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=57550&book_info_id=7,,,포함
잘 그리지도 못하면서,김중석,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=67122&book_info_id=1,,,포함
반전 동화,우에사카 도루/장윤정,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=68368&book_info_id=7,,,포함
휴대폰 전쟁,로이스 페터슨/고수미,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=11635&book_info_id=2,,,포함
"아이와 함께, 아일랜드 영국",정유선,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=25171&book_info_id=1,,,포함
신현림의 옛 그림과 뛰노는 동시 놀이터,신현림,노래,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=5024&book_info_id=10,,,포함
너는 지금 어디에 있니 : Here I am,패티 김,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18807&book_info_id=8,,,포함
나를 찾는 인성 여행,김진락,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=67122&book_info_id=8,,,포함
간서치 형제의 책 읽는 집,김주현,동화,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=18197&book_info_id=9,,,포함
동급생,프레드 울만/황보석,소설,,발표 시기 미상,http://www.kpipa.or.kr/info/recommYouthBookInfo.do?board_id=36&article_id=67874&book_info_id=2,,,포함
