제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
우리는 사랑일까:알랭 드 보통 장편소설,"보통, 알랭 드",장편소설,2005,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1024005&isbn=9788956601373&mid=b30201000000,은행나무,,포함
그램그램 영문법 원정대 현재완료,장영준,평론,2012,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1024295&isbn=9788964351093&mid=b30201000000,사회평론,,포함
미스 플라이트 : 박민정 장편소설,박민정,장편소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030003&isbn=9788937473203&mid=b30201000000,민음사,,포함
뢴트겐행 열차 : 황수아 시집,황수아,시,2017,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027974&isbn=9788983926630&mid=b30201000000,문학수첩,,포함
단 하나의 문장 : 구병모 소설,구병모,소설,2018,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029219&isbn=9788954653480&mid=b30201000000,문학동네,,포함
시진핑 주석이 연설속에 인용한 이야기,인민일보 평론부,평론,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1031356&isbn=9791188783403&mid=b30201000000,징검다리,,포함
팔십이년생 김지영:조남주 장편소설,조남주,장편소설,2016,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1027054&isbn=9788937473135&mid=b30201000000,민음사,,포함
나는 빠리의 택시운전사,홍세화,평론,1996,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1010707&isbn=8936470221&mid=b30201000000,창작과 비평사,,포함
마음이 살짝 기운다 : 나태주 신작 시집,나태주,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1029995&isbn=9788925565736&mid=b30201000000,RHK,,중복 제외 (앞 순위 출처에 있음)
슬프다 풀 끗혜 이슬:송재학 시집,송재학,시,2019,발행 연도,https://www.ksponco.or.kr/lib/book/one/view?book_seq=1030583&isbn=9788932035239&mid=b30201000000,문학과지성사,,포함
