제목,저자,장르,연도,연도 근거,링크,발행처,비고,통합 통계
まほろばの?から,센다 미노루,수필,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602049,,KDC 834,포함
日本?童文?史事典,"일외アソシエ?ツ편집부, 일외アソシエ?ツ",평론,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602054,,KDC 809,포함
21世紀に安部公房を?む,이선윤,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602064,,KDC 830,포함
年?90万円で東京ハッピ?ライフ,오하라 헨리,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602072,,KDC 838,포함
日本から「北」に?った人の物語,한석규,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602135,,KDC 833,포함
ヂンダレ?カリオン,불이출판,시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602163,,KDC 831,포함
時の震え,이우환,수필,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602193,,KDC 834,포함
?うために?むのではないからマッコリはゆっくり味わう,"요시카와 나기, 신경림",시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602649,,KDC 831,포함
この世でいちばん美しい別れ,"요시카와 나기, 노희경",소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602651,,KDC 813,포함
子どもに聞かせたいとっておきの話,"아베 도모지, 고쿠분 이치타로",기타,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600164,,KDC 830,포함
どんぐり民話館,호시 신이치,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600212,,KDC 833,포함
?童文?のすすめ,후쿠다 기요토,평론,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600246,,KDC 809,포함
針穴の中の嵐,"김기택, 한성례",시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602708,,KDC 811,포함
京城のダダ、東京のダダ,요시카와 나기,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602709,,KDC 810,포함
ガラス?を貫通する,"고형렬, 권택명",시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602710,,KDC 811,포함
生の裏面,"이승우, 김순희",소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602711,,KDC 813,포함
母をお願い,"신경숙, 안우식",소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201602712,,KDC 813,포함
戰爭と平和,"Tolstoy, Leo, 요네카와 마사오",희곡,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600653,,KDC 892,포함
ジャンル?テ?マ別英米?童文?,길전신일,평론,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600702,,KDC 809,포함
世界の冒?小?·?解?,겸전삼평,기타,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600739,,KDC 808,포함
朝鮮半島と日本の詩人たち,변재수,시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201600881,,KDC 831,포함
鏡の中の天使,"강상구, 김춘수",시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601028,,KDC 811,포함
明洞のキリスト,"조사옥, 김원식",시,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601032,,KDC 811,포함
中年以後,소노 아야코,수필,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601110,,KDC 834,포함
荒野,사쿠라바 가즈키,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601113,,KDC 833,포함
東京小?,"후지노 지야, 하야시 마리코",소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601120,,KDC 833,포함
街道をゆく,시바 료타로,수필,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601129,,KDC 836,포함
あしたはアルプスを?こう,가쿠타 미쓰요,수필,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601140,,KDC 836,포함
四季·布由子,이쓰키 히로유키,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601152,,KDC 833,포함
日本の短編小?,오다기리 스스무,소설,,발표 시기 미상,http://lod.nl.go.kr/resource/JMO201601156,,KDC 833,포함
